country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,,,,,,,,,,,,,,,,,,,,,3.6,,,,,3.8,,,4.5,,,,,4.4,,,4,4,4,4,3.9,3.9,3.5,3.7,3.7,3.7,3.6,3.4,3.7,3.7,3.7,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,1.3,1.7,,,,1.9,
Dominican Republic,,,,,,,,,,,,,,,,,,,,1.4,,,1.7,,,1.6,,,,1.5,1.3,,,1.2,1.5,1.3,1.3,1.4,1.5,1.4,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.8,2.3,2.3
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.7,0.9,,,1.1,1,1.1,1.3,1.1,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.6,1.6,1.6,1.6
Egypt,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,4.2,,,,3.9,,,,,3.9,,,,3.9,,4.1,,4.3,,,3.9,,3.8,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,1.1,1.1,,0.4,0.5,1,0.9,0.9,0.7,1.1,1.2,1.7,1.9,1.7,1.8,1.9,2.1,2.2,2.1,2.2,2.4,2.3,2.5,2.4
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,2,2.5,2.7,2.8,3,2.9,2.8,2.5,2.6,2.6,2.4,2.4,2.7,2.9,3,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,3.9,,,,,4.1,,,,,,3.2,,,,,2.9,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,2.7,,,,,3.1,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,4.6,,,,4.6,,,,4.7,,,,,4,,,3.9,3.9,4,3.8,3.8,3.8,3.8,3.7,3.8,3.9,3.8,3.9,3.8,3.9,3.8,
France,,,,,,,,,,,,2.5,,,,,,2.2,,,,,2.8,,,,,3.2,,,,,,3.3,,,3.3,3.4,3.5,3.4,3.3,3.2,3,3,3.1,3.1,3.2,3.2,3.1,3.2,3.2,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,2.2,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,1.8,,,,,,,2.2,,,,,3,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.8,1.7,1.9,1.8,2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2,2.2,2.3,2.4,2.6,2.6,2.3,2.4
Germany,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,3.4,3.4,,,3.6,,3.5,3.5,3.4,3.4,3.4,3.2,3.4,3.4,3.3,3.3,3.4,3.5,,3.3,,3.1,2.9,,
Ghana,,,,,,,,,,,,,,,,,,,,,2.8,2.9,,,2.6,,,,,,,2.2,,,,,,,1.9,,,,,,,2,,,,1.6,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2.5,,,2.7,2.6,2.6,2.5,2.6,2.6,2.6,2.4,2,1.9,2,2,1.9,2.2,2.4,
Guatemala,,,,,,,,,,,,,,,,,,,,1,,,0.7,,,,,,,,,,,1.2,,,,,,1.1,,,,,,,,1.7,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,2.1,,,,,,,,2.3,,,,,2.5,,,,,3,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,2.9,,,,,,,,1.6,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,1,1,1.2,1.3,1.2,1,1,0.9,1.2,0.5,0.5,,0.8,0.8,0.7,0.7,0.5,0.6,0.9,0.9,1.1,1.1,0.8,0.9,1.1,1.3,1.3,1,1.1,0.9
Hungary,,,,,,,,,,,,,,,,,,,,,5,,4.6,,2.7,,4.1,2.6,,,,,3.4,,,,,3.3,2.6,3.4,3.5,3.6,3.6,3.2,3.1,2.9,2.9,2.9,3,3.1,3,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.7,3.6,3.7,3.6,3.7,3.9,3.7,3.8,4.1,3.8,3.9,,,
India,,,,,,,,,,,,,,,,,3.6,,,,3.8,,,,,,3.7,,,,,,,,,,,3.4,,,,,3.4,,3.3,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,3.5,,,4,,,4,,,3.9,,,3.6,,3.8,3.9,4,4,3.7,3.6,3.4,3.4,3.2,3.1,3.2,3.3,3.1,2.9,3,3,3,2.9,2.8,2.8,2.8
Iran,,,,,,,,,,,,,,,,,,,,1.8,,,,2.1,,,,2.2,,,,2.1,,,,,,,2,2,,,2,,,,2.7,2.4,2.4,2.4,2.3,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,3.7,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,2.9,2.8,2.9,,,,3.1,,,3.1,3,3.1,3.1,3.3,3.3,3,2.8,2.8,3,2.8,3.1,3.1,3.1,,
Israel,,,,,,,,,,,,,2.7,,,,,,,2.6,,,,,,2.8,,,,,2.4,,,,2.3,,,,1.8,,1.8,,,1.8,,1.7,,1.7,,1.9,,
Italy,,,,,,,,,,,,,,,,,,,,2.9,2.3,,3.1,,3,,2,,2.1,,,1.8,,2.1,,,2.3,2.4,2.4,2.5,2.5,2.4,2.3,2.1,2.1,2,2,2,1.7,1.9,1.9,
Jamaica,,,,,,,,,,,,,,,,,,,,,,2.1,,2.5,,,2.7,,,2.5,,,2,,,1.8,,2.1,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,3.3,,,2.9,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,3.1,,,,,,2.5,,,,,3.3,,,,,3,,,,3.3,,3.6,,3.5,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,2.6,3,3.1,3.4,2.3,3.7,3.8,4,4,4.1,4.1,4.1,4.3,4.3,4.3,4.2,4.3,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.9,,,2.3,,,,,,,,1.8,,,,,,,,,,2.4,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,3.6,3.7,3.6,3.9,3.2,3.5,3.1,3.1,3.5,3.9,3.5,4.2,4,4,4.4,4.1,4.4,4.3,4.3
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,3.4,,,,,3.7,,,,,3.3,,,,,3.2,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,3.2,2.9,,,,,,,,2.2,2,2.4,2.3,2.1,1.9,2.1,2.3,2.3,2.3,2.3,2.5,2.5,2.3,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.5,,,,,,,,0.9,,,,,,,,,,,,,,,1.7,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,3.2,,2.9,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,2,2.2,2.3,2.4,2.3,1.8,2.2,2.6,2.4,2.5,2.1,2.1,2,2.1,
Luxembourg,,,,,,,,,,,,,,,,,,,4,,,,,,4.2,,,4.1,,,3.4,,,3.5,,,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3,3.1,3.2,2.8,2.8,2.4,
Madagascar,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,2.3,,2.5,,1.9,,,,2.7,,,,,2.4,,2.2,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,2.9,,,,,,2.2,,,,,,2.6,,
Malaysia,,,,,,,,,,,,,,,,,,1.8,,,2,,2.1,,,1.9,,,1.8,,1.7,,,,,,,1.8,,,1.8,1.8,,,2,,2.3,,2.3,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,2.5,,,,,,,3.4,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,2.5,,,,,2.5,,,3.3,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.2,3.5,3.2,3.4,3.5,3.4,3.5,3.5,3.4,3.5,3.4,
Mauritania,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,2,,2.4,,,,,2.5,,,,2.6,,,,2.6,,,,,,3,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,2.8,,,,,2.9,
Mexico,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1.2,,1.1,,0.8,,1,,1.3,,1.5,,1.5,1.4,1.6,,1.4,,1.6,,1.6,,1.7,,1.9,,2
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,1.9,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.2,2.3,2.7,2.6,2.8,3.1,3,2.9,2.8,3,2.9,3.1,3.3,3.5,3.8,3.9,4.2,4.1,4.3,4.3,4.4
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,3,,,,3,,,,,3,,,3.2,3.2,3.1,,3.3,,3.3,,3.3
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.7,1.8,1.8,,,
Morocco,,,,,,,,,,,,,,,,,,2.7,,,,,,2.8,,,,,,,,2.8,,2.6,,,,,,2.6,,,,,,,2.7,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,2.1,,,,,,1.9,,,,,,1.6,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3.8,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,1.3,,,,,,1,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,2.7,,,,,,,3.5,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,3.2,,,,4.1,,,3.2,,,2.7,,,,,,3.7,,,,,3.2,3.5,3.5,3.5,3.4,3.6,3.6,3.6,3.7,3.5,3.5,3.5,3.5,3.5,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.9,,,1.4,,,,1.9,,,,2,,,,,2,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2.4,,,,,,,,,,,2.3,,3.2,,,,3.8,,,3.2,,,,
Nigeria,,,,,,,,,,,,,,,,,,,2.5,,,,,,,1.3,,,,1.3,,,,,,,2.1,,,,,,2,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.8,1.2,1.5,1.8,1.8,1.7,1.8,1.7,
Norway,,,,,,,,,,,,,3.9,,,,,,,4.3,,,,,4.1,,,,3.9,,,,,4,,,3.8,3.5,3.5,3.5,3.6,3.5,3.7,3.7,3.8,3.7,3.7,3.5,3.5,3.2,3.3,
Pakistan,,,,,,,,,,,,,,,,,,,,,3.5,,,3.4,,,,,,4.4,,3.7,,,4.1,,,3.8,3.9,,4,,,4.2,4.1,,4,,3.9,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.9,3.2,2.8,,3.2,3.1,3.1,,,,,2.9,,
Panama,,,,,,,,,,,,,1.5,,,,,,,,,,0,,0.1,,,,0.1,,0.3,0.2,0.3,0.5,0.5,0.8,0.7,0.8,0.8,0.7,1,1,1.2,1.1,1.1,1,1.1,1,1.1,1.1,1.1,1.2
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,1.9,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,0.7,,0.7,,0.9,,1,1,1.2,1.4,1.3,1.3,1.2,1.5,1.4,1.3,1.2,1.5,1.6,1.4,1.6,1.6,1.7,1.7
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,1.2,1.1,1.1,1.3,1.3,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.8
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,2.1,,,2,,,2.2,,,2.1,,,2.3,,,
Poland,,,,,,,,,,,,,,,,,,,4.1,3.4,4.1,,3.9,,,3.6,,,2.5,,,,2.9,,,,,1.9,2.4,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.8,3,3.2,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.5,2.2,2.1,2.3,2.4,2.4,2.7,
Romania,,,,,,,,,,,,,,,,,,,,,,,4.1,,,3.8,,3.7,3.1,,3.2,,,,,,,,,1.7,1.9,1.9,2.1,1.9,1.8,1.7,1.6,1.5,1.6,1.8,1.6,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,1.6,2.4,2.4,2.4,2.5,2.6,2.6,2.4,2.3,2.3,2.3,2.3,2.4,2.6,2.5,2.6,2.5,2.6,2.6,2.8,2.8,2.9,2.9
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1.7,,,,,2.3,,,2.4,,,2.4,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,2.7,,,,,2.7,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,3.5,,,,,,,1.3,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,2.6,,,,,,,2.7,,,,2.4,,,,,,2.3,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1,1.1,1.1,1.4,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,3.3,,,,,,,3.4
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3.2,,,,,,,,3.3,3.4,3.6,3.6,3.4,3.2,3.1,3.2,3.1,3,2.9,3,2.9,,
Slovenia,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,4,,,,4,,4.1,,,,,4,4,4.1,4.1,4.2,4,3.9,3.9,3.7,3.6,3.8,3.9,4,4.1,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,2.8,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1,,,,1.3,,,,,1,,,1,,0.9,,,,0.9,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.6,,2.6,,2.6,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,
Spain,,,,,,,,,,,,,,2.6,,,,,2.7,,,,,2.9,,,,,2.1,,,,,2.7,,,2.6,2.4,2.5,2.3,2.4,2.3,2.1,2.1,1.9,2,1.8,1.8,1.9,1.8,2.1,
Sri Lanka,,,,,,,,,,,,,,,,,,,3.6,,,,,3.7,,,,,3.4,,,,,,,2.9,,,,2.9,,,3.2,,,3,,,,2.9,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.9,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,3.2,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,1.8,,,,,,,,,1.5,,,,,,,1.4,,
Sweden,0.5,,,,,,,,4.1,,,,,,3.9,,,,,,4.1,,,,,3.8,,,3.6,,,,,3.8,,,3.7,3.7,3.2,3.6,3.4,3.2,3.2,3.2,3,3,2.9,3.1,2.9,3,3,
Switzerland,,,,,,,,,,,,,,,,2.9,,,,,,,,,,2.8,,,,,,,,3.1,,3.3,,,,2.9,2.9,3,3.1,3.1,3.2,3.3,3.3,3.2,3.2,3,3.1,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,3.3,3.2,,,2.6,,3.4,,,,,,3,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,2.7,,,,,,,2.5,,,,3.1,,,,,,2.9,
Thailand,,,,,,,,,,,,,,,2.3,,,,,,,2.7,,2.4,,2.2,,2.5,,2.6,,2.7,2.5,2.6,,2.6,,2.5,,2.5,2.7,2.7,2.7,2.7,3,2.8,2.9,3,3.2,3.1,3,3
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4.1,,,,,,,4,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,1.9,,,,1.9,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,2.7,,,,,,2.8,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,1.9,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,2.3,,,,,2.3,,,,,2.3,,,,,2.4,,,,,2.5,,,,,2.6,,,,,3.2,,,
Turkey,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,2.3,,,,,,,,2.3,2.1,2,1.9,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,1.9,,,2.4,,,,2.8,,,2.3,,,2.4,,,2.4,,,,2.3,,,2.5,,,,2.5,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.6,,2.4,2.8,,,,,,3.6,3.8,3.6,3.7,3.7,4,4.1,4.3,4.4,4.4,4.4,4.4,4.5,4.2,4.3,4.1,4.2
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,
United Kingdom,,,3.2,,,,,3.6,,,,,3.6,,,,,,,2.8,,,,,2.6,,,2.8,2.4,,,,2.6,,,,,2.5,2.6,2.7,2.6,2.7,2.8,2.9,2.9,3.1,2.9,2.9,2.9,2.8,,
United States,,,,,,,,2.1,,,,,2.3,,,,,,,1.9,,,,,1.9,,,1.8,,,1.8,,,1.9,,,,1.7,,,1.7,,,1.7,,,1.7,,,1.7,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,1.8,1.8,1.8,1.7,,1.9,1.8,1.8,2,1.8,1.8,1.9,1.9,1.9,1.8,2,2,2.1,2.1,2.1,2.1,2.2,2.3,2.3
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,2.7,,3.3,2.9,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,
