country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,55.4,68.4,89,151,54.5,98.7,98.5,55.2,69.1,61.3,76.4,72.1,68.9,89.8
Indonesia,,,,,,,,,,,,,,,,,,,,,32.9,40,13.5,23.1,45.7,16.2,14.3,15.4,23.3,28.5,28.5,38.1,49,19.4,39.8,47.7,43.7,46.7,38,47.4,41,45.7,51.3
Iran,3.67,4.56,4.73,6.41,,,,,,,,,,,,,,,2.02,3.9,9.5,14.1,13.3,13.5,19.2,24.4,5.82,9.14,17.9,22.4,16.1,13.6,12.5,12,14.3,17.8,18.4,15.2,74,26.8,23.2,26.6,24.7
Ireland,,,,,,,,,,,,,,,,,,,,,,,59,77.3,69.7,82,69,46.8,51.8,58.8,53.9,70.3,53.3,18,25.9,27.2,45.3,48.3,71.1,55.6,44,39.3,43.9
Israel,,,,,11.8,19.9,27.3,57.2,16.4,21,27.8,29,29.6,10.8,16.5,14,21.2,39.3,66.9,37.9,36.4,32.5,40.4,35.3,55.7,50.4,44.1,34.8,55.3,67.8,86,105,132,49.9,91,97.4,60,62.9,69.5,65,81.5,67.3,65.9
Italy,,,,,,,,,,,,,,,,,,,,,,,,,58.3,67.3,45.4,37.7,39.2,43.9,43.1,52.8,48.7,21.8,30,25.2,19,23.2,28.9,27.3,,,
Jamaica,,,,,,,,,,,,,,,,,,,27.2,33.5,21.3,26.4,27.4,24.3,28.5,39.5,51.4,62.3,,,,,,,,29.4,34.7,,,,,,
Japan,27.2,30.9,2.98,3.37,27.4,34.3,34.3,36.8,43.9,48.9,67.8,85.8,108,123,139,93.5,83.9,57.7,65.2,73.2,65.1,62.5,47.2,60.5,97.7,64.6,52.6,50.3,66.4,73.9,96.2,102,95.9,61.8,63.2,67.2,54,56.1,88.1,90.3,111,100,128
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,163,134,117,94.3,87.2,76.7,71.3,67.8,63.6,59.8
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,7.65,6,4.38,5.52,5.23,7.87,9.13,18.4,53.9,39.5,17.4,24.2,18,11.7,11.3,11.1,10.4,18.9,29.3,28.6
Kenya,,,,,,,,,,,,,,,,,,,18.5,42.6,22.3,14.9,13.8,14.8,,9.88,8.05,10.9,28.1,24.2,34.1,44.1,41.8,30.2,29.6,36.2,24.3,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,43.9,40.1,47.7,60.1,97.7,87.8,66.5,51.6,64.9,82.5,127,123,128,105,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,17.5,17,13.9,10.9,9,6.96,6.93,7.06,10.5,22.6,37.4,43.7,32.8,36.2,33,22.6,20.7,23.2,23.7,23,24.5,22.2
Luxembourg,24.7,22.6,22,21.4,44.5,23.3,29,33.6,32.3,35.2,59.1,66,82.9,86.8,99.6,79,78.7,73.7,117,156,141,149,172,189,162,160,107,104,126,145,137,187,326,119,204,190,113,124,127,95.2,81.6,104,110
Malaysia,,,,,,,61.2,51.8,74.8,57,77.4,53.6,56.7,65.4,102,109,115,150,321,247,241,304,93.2,132,177,121,128,125,146,146,126,145,168,82,143,160,133,148,155,136,129,121,145
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,47,31.3,29.3,33.9,46.8,63.7,66.6,71.5,39.8,47.8,48,36.1,39.4,41.9,32.4,41.7,39.3,41.2
Mauritius,,,,,,,,,,,,,,,,,,,21.5,37.1,33.1,33.6,36.4,40.8,35.5,27.1,21.6,25,33.8,33.2,37,70.5,97.2,46.7,72.1,77.5,68.1,61.5,73.7,68.3,61.9,61.9,73
Mexico,0.534,0.899,,0.72,0.89,0.668,0.404,0.99,2.04,2.08,2.12,4.26,6.45,8.3,12.1,15.6,32.7,38.2,40.1,24.7,25.2,26,31.3,17.4,25.7,17.7,16.7,13.5,16.8,21.9,27.3,35.7,37.8,21.1,39.1,43,34.6,43.7,41.3,36.5,34.4,32.7,36.3
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,77.9,77.3,92.6,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,59.3,53.4,50.4,48,45.7,55.6,61.4
Namibia,,,,,,,,,,,,,,,,,,,0.86,5.4,4.79,12,16.8,11.2,18.1,7.96,4.24,6.09,6.24,5.94,5.71,6.79,8,7.21,10.9,10.4,9.29,10,14,15,16.2,20.7,22
Netherlands,18.5,18.7,18,17.3,16.5,15.2,13.5,16.4,22.3,24.9,41.8,42.2,36,41.8,60.6,38.1,52.3,47.6,52.1,59.8,64.2,84.2,114,139,157,155,118,86.2,85.4,82.8,87.4,107,114,41.5,65.2,79,66.5,78.5,94.4,89.4,96.1,104,133
New Zealand,,,,,,,,,,,35.2,72.6,38.8,29.6,30.5,19.4,33.4,36.8,54.8,49.2,49.1,54.6,46.2,44.1,48.2,35.4,33.1,32.7,37.4,42.1,35.4,40.2,34.6,18.2,29.3,29.7,26.2,30,34.6,37,41.9,42.3,46
Nigeria,,,,,,,,,,,,,,,,,,,13.6,16.5,27.2,36.3,35.1,32.3,8.19,,,4.02,,18.1,19.8,22.6,51,23.1,19,13.7,9.48,12.2,15.7,11,10.4,7.36,9.9
Norway,,,,,,,5.24,3.82,7.44,93.3,15.4,12.8,12.6,15.5,24.6,21.8,18,13.6,22.7,28.7,29.3,34.8,41.2,30.1,39.3,38.4,39.9,32.8,41.9,53.5,61.9,81.3,88.5,31.5,58.8,68.8,44.3,47.6,50.7,43.9,50.1,62.3,72
Oman,,,,,,,,,,,,,,,,,,,12.9,16.5,17.2,19.9,47.3,31.2,26.6,21.4,20.9,25.6,33.5,38.1,49.1,43.3,63.4,33.8,46.4,48.3,39.5,39.5,46.6,46.7,59.7,34.8,29.3
Pakistan,,,,,,,,,,,,,,,,,,,24.6,24.9,15.6,18.4,18.9,8.71,11.1,8.96,6.78,14.1,20,46.5,41.4,32.7,45.7,13.7,19,21.4,15.2,19.5,24.8,30.1,24.4,33,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,14.1,10.5,12.8,11.8,11.6,18,65.4,39.4,31.8,27.3,32.7,27.5,26.6,25.3,26,25.1,26.3,25.3,26.8
Panama,,,,,,,,,,,,,,,,,,,4.96,8.13,8.68,13,20.4,33,28.7,22.7,20.8,23.8,23.5,28,36.4,39.4,33.8,28.1,28.5,28.4,30.8,31,27.6,27.6,24.3,23.5,24.3
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,97.4,126,93.2,136,95.8,151,77.4,70,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,3.96,4.25,4.06,3.73,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,26.6,17.8,24.1,18.8,18.8,20.9,24.1,27.1,31.7,45.1,67.9,31.4,59.3,70.1,47.7,53.3,40.2,39.2,29.8,42.3,46.9
Philippines,,,,,,,,,,,,,,,,,,,,,,97.3,38.1,48.9,50.8,32.1,27.9,22.7,27.6,31.3,38.6,55.5,68.9,29.9,51.3,78.8,73.6,91.7,79.9,92,81.6,78.6,92.6
Poland,,,,,,,,,,,,,,,,,,,,,3.21,5.24,7.63,11.7,17.4,18.2,13.7,14.3,17,27.6,30.7,43.2,49.3,17,34.3,39.8,26.1,35.5,39,31,28.9,29.4,38.4
Portugal,,,0.363,0.26,0.331,0.565,0.488,0.302,0.339,0.311,0.787,4.72,29.3,12.8,17.5,12,10.4,9.06,13.1,16.3,15.5,20,33.3,50.8,53.5,51.3,38.1,31.9,35.3,37.1,33.9,50,55.1,26.3,40.3,34.4,25.2,30.3,35,25.2,30,27.9,34.7
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,66.4,,,,,76.8,90.1,86.6,102,77.9
Romania,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.867,0.972,2.71,5.39,5.68,14.4,15.9,20.4,17.4,7.09,7.57,8.52,7.61,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,62.4,38.2,37.3,33.5,18.7,28.7,48.4,39.5
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,66.9,50.5,50.7,62.6,63.9,64.4,69.6,66
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,13.1,20.4,35.4,58.9,25.5,26.8,3.91,3.86,,,,,,
